"LAName","Region","AB","C1","C2","DE","ConVote","LabVote","LDVote","UKIPVote","GreenVote","Leave"
"Adur","South East",0.195039208052945,0.336076970135143,0.246982926422335,0.221900895389578,0.494729247665237,0.195138081686641,0.0673373682311916,0.165677983085494,0.0522065012625757,0.5457
"Allerdale","North West",0.177781593406593,0.240212912087912,0.273076923076923,0.308928571428571,0.333077052178102,0.398930603840523,0.0469184981917819,0.18524192826408,0.0318411141064209,0.5865
"Amber Valley","East Midlands",0.207205530444031,0.270220685987769,0.247008774262164,0.275565009306036,0.467102816147433,0.31499705763087,0.0382037168364895,0.150000150606867,0.0294844737699338,0.6028
"Arun","South East",0.194955576054765,0.320216536388794,0.237510317036462,0.247317570519979,0.532611050240059,0.136110465761106,0.0860318989853851,0.196544258164579,0.0487023268488721,0.6248
"Ashfield","East Midlands",0.127827963866016,0.269485970101527,0.265089135822208,0.337596930210249,0.29204657868813,0.394763447925381,0.110266351680899,0.193645552492964,NA,0.6984
"Ashford","South East",0.223278114323447,0.310126037150814,0.234963107576584,0.231632740949154,0.52261568255724,0.182733033397142,0.0610471873029958,0.189862756004908,0.0434492640363505,0.5943
"Aylesbury Vale","South East",0.29655983757424,0.331948160376463,0.203070150471528,0.168421851577769,0.577385430556717,NA,NA,0.207531969749977,0.0893606527670811,0.505
"Babergh","East",0.238717807356068,0.303772544695597,0.244309679451839,0.213199968496495,0.530679869767083,0.192671508659718,0.0779085672452656,0.152137476640915,0.0434045504459899,0.5419
"Barking & Dagenham","London",0.120235910411061,0.30458100956827,0.234823512641876,0.340359567378793,0.194325616688245,0.514010828050165,0.0144529549843629,0.251642177390956,0.0197697528691794,0.6244
"Barnet","London",0.331832998521775,0.32803320319903,0.143719440548838,0.196414357730357,0.494921839350204,0.383828111758647,0.0334480645623916,0.0552665545429655,0.0317662090455144,0.3777
