"","LAName","Region","AB","C1","C2","DE","ConVote","LabVote","LDVote","UKIPVote","GreenVote","Leave","control","elected.Independent","elected.Conservative","elected.Labour","elected.UK Independence Party","total.Independent","total.Conservative","total.Labour","total.UK Independence Party","change.Independent","change.Conservative","change.Labour","change.UK Independence Party","elected.Green","total.Green","change.Green","elected.Liberal Democrat","total.Liberal Democrat","change.Liberal Democrat","elected.Residents' Association","total.Residents' Association","change.Residents' Association","elected.Liberal Party","total.Liberal Party","change.Liberal Party","elected.Independent Community & Health Concern","total.Independent Community & Health Concern","change.Independent Community & Health Concern"
"1","Allerdale","North West",0.177781593406593,0.240212912087912,0.273076923076923,0.308928571428571,0.333077052178102,0.398930603840523,0.0469184981917819,0.18524192826408,0.0318411141064209,0.5865,"NOC NO CHANGE",20,15,14,0,20,15,14,0,14,-1,-11,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Amber Valley","East Midlands",0.207205530444031,0.270220685987769,0.247008774262164,0.275565009306036,0.467102816147433,0.31499705763087,0.0382037168364895,0.150000150606867,0.0294844737699338,0.6028,"LAB GAIN FROM CON",0,7,7,0,0,18,26,0,0,-7,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3","Arun","South East",0.194955576054765,0.320216536388794,0.237510317036462,0.247317570519979,0.532611050240059,0.136110465761106,0.0860318989853851,0.196544258164579,0.0487023268488721,0.6248,"CON LOSE TO NOC",8,21,1,0,8,21,1,0,6,-21,0,-4,2,2,2,22,22,17,0,0,0,0,0,0,0,0,0
"4","Ashfield","East Midlands",0.127827963866016,0.269485970101527,0.265089135822208,0.337596930210249,0.29204657868813,0.394763447925381,0.110266351680899,0.193645552492964,0,0.6984,"IND GAIN FROM NOC",30,3,2,0,30,3,2,0,26,-1,-20,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0
"5","Ashford","South East",0.223278114323447,0.310126037150814,0.234963107576584,0.231632740949154,0.52261568255724,0.182733033397142,0.0610471873029958,0.189862756004908,0.0434492640363505,0.5943,"CON HOLD",12,26,7,0,12,26,7,0,10,-13,3,-1,2,2,2,0,0,-1,0,0,0,0,0,0,0,0,0
"6","Babergh","East",0.238717807356068,0.303772544695597,0.244309679451839,0.213199968496495,0.530679869767083,0.192671508659718,0.0779085672452656,0.152137476640915,0.0434045504459899,0.5419,"CON LOSE TO NOC",8,15,2,0,8,15,2,0,1,-7,1,0,4,4,4,3,3,1,0,0,0,0,0,0,0,0,0
"7","Barnsley","Yorkshire and The Humber",0.138964837108073,0.264721485411141,0.25499557913351,0.341318098347276,0.170615638091724,0.530703160046708,0.032864275573454,0.228930490818716,0,0.6831,"LAB HOLD",5,1,12,0,7,3,49,0,5,-1,-7,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0
"8","Barrow-in-Furness","North West",0.155375815533113,0.25440164447225,0.272142282598981,0.318080257395656,0.404968226458694,0.423339110340843,0.0270132871172732,0.117157712305026,0.0245176198729058,0.6062,"LAB HOLD",0,12,24,0,0,12,24,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Basildon","East",0.184455805540688,0.326276739078275,0.228677949834813,0.260589505546225,0.501979037514049,0.220420681980522,0.0340376085764673,0.223669807648317,0,0.6862,"CON LOSE TO NOC",3,5,6,0,6,20,15,1,3,-3,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Basingstoke & Deane","South East",0.308329756061143,0.315870023703317,0.195729670206611,0.180070550028929,0.529410536261028,0.218680683139696,0.0823841331599612,0.146912205713944,0,0.519,"CON HOLD",0,12,4,0,1,31,21,0,0,-3,1,0,0,0,0,4,7,2,0,0,0,0,0,0,0,0,0
"11","Bassetlaw","East Midlands",0.164287186129346,0.261693797650938,0.2561302287245,0.317888787495216,0.32992538117722,0.462617782589096,0.0286351679492182,0.156128110112513,0.0216252705732658,0.6783,"LAB HOLD",5,5,37,0,5,5,37,0,2,-7,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
